Rank,City,State,Population
172,Macon-Bibb County,Georgia,"152,663"
173,Escondido,California,"151,969"
174,Paterson,New Jersey,"148,678"
175,Joliet,Illinois,"148,462"
176,Naperville,Illinois,"147,682"
177,Rockford,Illinois,"147,051"
178,Torrance,California,"146,758"
179,Bridgeport,Connecticut,"146,579"
180,Savannah,Georgia,"146,444"
181,Killeen,Texas,"145,482"
182,Bellevue,Washington,"144,444"
183,Mesquite,Texas,"143,949"
184,Syracuse,New York,"143,396"
185,McAllen,Texas,"142,696"
186,Pasadena,California,"142,647"
187,Orange,California,"140,560"
188,Fullerton,California,"140,392"
189,Dayton,Ohio,"140,371"
190,Miramar,Florida,"140,328"
191,Olathe,Kansas,"137,472"
192,Thornton,Colorado,"136,978"
193,Waco,Texas,"136,436"
194,Murfreesboro,Tennessee,"136,372"
195,Denton,Texas,"136,268"
196,West Valley City,Utah,"136,170"
197,Midland,Texas,"136,089"
198,Carrollton,Texas,"135,710"
199,Roseville,California,"135,329"
200,Warren,Michigan,"135,022"
201,Charleston,South Carolina,"134,875"
202,Hampton,Virginia,"134,669"
203,Surprise,Arizona,"134,085"
204,Columbia,South Carolina,"133,114"
205,Coral Springs,Florida,"133,037"
206,Visalia,California,"133,010"
207,Sterling Heights,Michigan,"132,631"
208,Gainesville,Florida,"132,249"
209,Cedar Rapids,Iowa,"132,228"
210,New Haven,Connecticut,"131,014"
211,Stamford,Connecticut,"130,824"
212,Elizabeth,New Jersey,"130,215"
213,Concord,California,"129,783"
214,Thousand Oaks,California,"128,995"
215,Kent,Washington,"128,458"
216,Santa Clara,California,"127,134"
217,Simi Valley,California,"126,878"
218,Lafayette,Louisiana,"126,848"
219,Topeka,Kansas,"126,587"
220,Athens-Clarke County,Georgia,"125,691"
221,Round Rock,Texas,"123,678"
222,Hartford,Connecticut,"123,400"
223,Norman,Oklahoma,"122,843"
224,Victorville,California,"122,441"
225,Fargo,North Dakota,"122,359"
226,Berkeley,California,"122,324"
227,Vallejo,California,"122,105"
228,Abilene,Texas,"121,885"
229,Columbia,Missouri,"121,717"
230,Ann Arbor,Michigan,"121,477"
231,Allentown,Pennsylvania,"121,283"
232,Pearland,Texas,"119,940"
233,Beaumont,Texas,"119,114"
234,Wilmington,North Carolina,"119,045"
235,Evansville,Indiana,"118,930"
236,Arvada,Colorado,"118,807"
237,Provo,Utah,"117,335"
238,Independence,Missouri,"117,306"
239,Lansing,Michigan,"116,986"
240,Odessa,Texas,"116,861"
241,Richardson,Texas,"116,783"
242,Fairfield,California,"116,266"
243,El Monte,California,"116,109"
244,Rochester,Minnesota,"115,733"
245,Clearwater,Florida,"115,513"
246,Carlsbad,California,"115,330"
247,Springfield,Illinois,"114,868"
248,Temecula,California,"114,327"
249,West Jordan,Utah,"113,905"
250,Costa Mesa,California,"113,825"
251,Miami Gardens,Florida,"113,750"
252,Cambridge,Massachusetts,"113,630"
253,College Station,Texas,"113,564"
254,Murrieta,California,"113,326"
255,Downey,California,"113,092"
256,Peoria,Illinois,"112,883"
257,Westminster,Colorado,"112,812"
258,Elgin,Illinois,"112,456"
259,Antioch,California,"111,674"
260,Palm Bay,Florida,"111,657"
261,High Point,North Carolina,"111,513"
262,Lowell,Massachusetts,"111,346"
263,Manchester,New Hampshire,"111,196"
264,Pueblo,Colorado,"111,127"
265,Gresham,Oregon,"111,053"
266,North Charleston,South Carolina,"110,861"
267,San Buenaventura (Ventura),California,"110,790"
268,Inglewood,California,"110,598"
269,Pompano Beach,Florida,"110,473"
270,Centennial,Colorado,"110,250"
271,West Palm Beach,Florida,"110,222"
272,Everett,Washington,"110,079"
273,Richmond,California,"110,040"
274,Clovis,California,"109,691"
275,Billings,Montana,"109,642"
276,Waterbury,Connecticut,"108,629"
277,Broken Arrow,Oklahoma,"108,303"
278,Lakeland,Florida,"108,054"
279,West Covina,California,"107,598"
280,Boulder,Colorado,"107,125"
281,Daly City,California,"107,074"
282,Santa Maria,California,"107,014"
283,Hillsboro,Oregon,"106,894"
284,Sandy Springs,Georgia,"106,739"
285,Norwalk,California,"106,084"
286,Jurupa Valley,California,"106,028"
287,Lewisville,Texas,"106,021"
288,Greeley,Colorado,"105,448"
289,Davie,Florida,"105,149"
290,Green Bay,Wisconsin,"105,116"
291,Tyler,Texas,"104,991"
292,League City,Texas,"104,903"
293,Burbank,California,"104,834"
294,San Mateo,California,"104,748"
295,Wichita Falls,Texas,"104,747"
296,El Cajon,California,"103,894"
297,Rialto,California,"103,562"
298,Davenport,Iowa,"102,320"
299,South Bend,Indiana,"102,245"
300,Las Cruces,New Mexico,"101,712"
301,Vista,California,"101,568"
302,Renton,Washington,"101,379"
303,Sparks,Nevada,"100,888"
304,Allen,Texas,"100,685"
305,Tuscaloosa,Alabama,"100,287"
306,San Angelo,Texas,"100,119"
307,Vacaville,California,"100,032"
308,Meridian,Idaho,"99,926"
309,Kenosha,Wisconsin,"99,877"
310,Roanoke,Virginia,"99,837"
311,Albany,New York,"98,251"
312,Boca Raton,Florida,"98,150"
